1_star,2_star,3_star,4_star,5_star,book_id,review_url
5242,17549,76814,153420,177369,18373,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0156030306&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
13482,34858,123403,231199,302012,6900,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0751529818&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
33288,83383,264921,358721,307289,35031085-frankenstein,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
43226,62603,227656,568873,1245155,34,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0618346252&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
27937,51808,174355,349778,434599,4981,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0385333846&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
24085,43903,121957,215094,269395,168668,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0684833395&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
34334,63571,169022,237977,224879,2165,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0684830493&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
27026,54215,191868,429585,499196,38447,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
39831,90797,209377,192469,116759,12296,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0142437263&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
12671,40333,145609,214272,199215,8852,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0743477103&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
