author_name,author_url,avg_rating,book_title,book_url,num_ratings,score,score_users
Chuck Palahniuk,https://www.goodreads.com/author/show/2546.Chuck_Palahniuk,4.19,"
Fight Club
",/book/show/5759.Fight_Club,"455,000","48,671",593
Jonathan Swift,https://www.goodreads.com/author/show/1831.Jonathan_Swift,3.56,"
Gulliver's Travels
",/book/show/7733.Gulliver_s_Travels,"213,796","47,788",693
C.S. Lewis,https://www.goodreads.com/author/show/1069006.C_S_Lewis,4.22,"
The Screwtape Letters
",/book/show/17383917-the-screwtape-letters,"298,099","47,743",613
Robert Louis Stevenson,https://www.goodreads.com/author/show/854076.Robert_Louis_Stevenson,3.80,"
The Strange Case of Dr. Jekyll and Mr. Hyde
",/book/show/51496.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde,"332,074","47,040",672
Daniel Defoe,https://www.goodreads.com/author/show/2007.Daniel_Defoe,3.67,"
Robinson Crusoe
",/book/show/2932.Robinson_Crusoe,"227,608","46,827",662
Ralph Ellison,https://www.goodreads.com/author/show/7508.Ralph_Ellison,3.86,"
Invisible Man
",/book/show/16981.Invisible_Man,"145,559","46,764",602
Jostein Gaarder,https://www.goodreads.com/author/show/1388082.Jostein_Gaarder,3.92,"
Sophie's World
",/book/show/10959.Sophie_s_World,"175,986","46,756",562
Henry David Thoreau,https://www.goodreads.com/author/show/10264.Henry_David_Thoreau,3.79,"
Walden
",/book/show/16902.Walden,"141,145","46,405",613
Sun Tzu,https://www.goodreads.com/author/show/1771.Sun_Tzu,3.97,"
The Art of War
",/book/show/10534.The_Art_of_War,"279,254","46,176",591
Mario Puzo,https://www.goodreads.com/author/show/12605.Mario_Puzo,4.37,"
The Godfather
",/book/show/22034.The_Godfather,"303,121","45,654",594
Charles Darwin,https://www.goodreads.com/author/show/12793.Charles_Darwin,3.98,"
The Origin of Species
",/book/show/22463.The_Origin_of_Species,"88,283","45,399",598
Jacob Grimm,https://www.goodreads.com/author/show/2938140.Jacob_Grimm,4.30,"
The Complete Grimm's Fairy Tales
",/book/show/22917.The_Complete_Grimm_s_Fairy_Tales,"136,965","44,804",646
Alex Haley,https://www.goodreads.com/author/show/17434.Alex_Haley,4.43,"
Roots: The Saga of an American Family
",/book/show/546018.Roots,"137,070","44,520",588
Franz Kafka,https://www.goodreads.com/author/show/5223.Franz_Kafka,3.98,"
The Trial
",/book/show/17690.The_Trial,"203,073","44,476",570
H.G. Wells,https://www.goodreads.com/author/show/880695.H_G_Wells,3.89,"
The Time Machine
",/book/show/2493.The_Time_Machine,"369,609","43,909",610
Alan Moore,https://www.goodreads.com/author/show/3961.Alan_Moore,4.36,"
Watchmen
",/book/show/472331.Watchmen,"456,663","43,881",532
Tim Butcher,https://www.goodreads.com/author/show/534082.Tim_Butcher,4.05,"
Blood River: A Journey to Africa's Broken Heart
",/book/show/2184798.Blood_River,"6,992","43,738",444
Niccolò Machiavelli,https://www.goodreads.com/author/show/16201.Niccol_Machiavelli,3.81,"
The Prince
",/book/show/28862.The_Prince,"229,257","43,422",581
Voltaire,https://www.goodreads.com/author/show/5754446.Voltaire,3.76,"
Candide
",/book/show/19380.Candide,"202,706","43,306",566
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.00,"
Emma
",/book/show/6969.Emma,"579,876","43,102",612
Beatrice Sparks,https://www.goodreads.com/author/show/69007.Beatrice_Sparks,3.76,"
Go Ask Alice
",/book/show/46799.Go_Ask_Alice,"222,894","41,721",527
Ian McEwan,https://www.goodreads.com/author/show/2408.Ian_McEwan,3.89,"
Atonement
",/book/show/6867.Atonement,"409,955","40,235",524
Marion Zimmer Bradley,https://www.goodreads.com/author/show/4841825.Marion_Zimmer_Bradley,4.12,"
The Mists of Avalon (Avalon, #1)
",/book/show/402045.The_Mists_of_Avalon,"180,128","39,306",498
Ernest Hemingway,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,3.82,"
The Sun Also Rises
",/book/show/3876.The_Sun_Also_Rises,"343,194","38,624",517
سید مرتضی مصطفوی,https://www.goodreads.com/author/show/18235662._,3.92,"
زندگی مه آلود پریا
",/book/show/40937505,917,"38,405",387
Natalie Babbitt,https://www.goodreads.com/author/show/1954.Natalie_Babbitt,3.87,"
Tuck Everlasting
",/book/show/84981.Tuck_Everlasting,"207,936","38,078",490
Jodi Picoult,https://www.goodreads.com/author/show/7128.Jodi_Picoult,4.07,"
My Sister's Keeper
",/book/show/10917.My_Sister_s_Keeper,"987,614","37,923",484
Toni Morrison,https://www.goodreads.com/author/show/3534.Toni_Morrison,3.82,"
Beloved
",/book/show/6149.Beloved,"287,513","37,657",489
Robert A. Heinlein,https://www.goodreads.com/author/show/205.Robert_A_Heinlein,3.92,"
Stranger in a Strange Land
",/book/show/350.Stranger_in_a_Strange_Land,"258,955","37,105",472
Veronica Roth,https://www.goodreads.com/author/show/4039811.Veronica_Roth,4.21,"
Divergent (Divergent, #1)
",/book/show/13335037-divergent,"2,658,989","36,330",439
Beatrix Potter,https://www.goodreads.com/author/show/11593.Beatrix_Potter,4.17,"
The Tale of Peter Rabbit
",/book/show/19321.The_Tale_of_Peter_Rabbit,"187,232","35,975",526
C.S. Lewis,https://www.goodreads.com/author/show/1069006.C_S_Lewis,4.32,"
Mere Christianity
",/book/show/11138.Mere_Christianity,"260,713","35,703",452
Norton Juster,https://www.goodreads.com/author/show/214.Norton_Juster,4.21,"
The Phantom Tollbooth
",/book/show/378.The_Phantom_Tollbooth,"219,491","35,556",449
Lois Lowry,https://www.goodreads.com/author/show/2493.Lois_Lowry,4.14,"
Number the Stars
",/book/show/47281.Number_the_Stars,"401,077","34,999",472
Greg Mortenson,https://www.goodreads.com/author/show/27837.Greg_Mortenson,3.65,"
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
",/book/show/49436.Three_Cups_of_Tea,"312,382","34,732",416
Dee Brown,https://www.goodreads.com/author/show/43443.Dee_Brown,4.23,"
Bury My Heart at Wounded Knee: An Indian History of the American West
",/book/show/76401.Bury_My_Heart_at_Wounded_Knee,"55,876","34,421",464
Roald Dahl,https://www.goodreads.com/author/show/4273.Roald_Dahl,4.01,"
James and the Giant Peach
",/book/show/6689.James_and_the_Giant_Peach,"339,059","34,390",483
Founding Fathers,https://www.goodreads.com/author/show/1048676.Founding_Fathers,4.54,"
The Constitution of the United States of America
",/book/show/89959.The_Constitution_of_the_United_States_of_America,"23,081","34,155",454
Tim O'Brien,https://www.goodreads.com/author/show/2330.Tim_O_Brien,4.13,"
The Things They Carried
",/book/show/133518.The_Things_They_Carried,"231,525","34,017",425
Walt Whitman,https://www.goodreads.com/author/show/1438.Walt_Whitman,4.12,"
Leaves of Grass
",/book/show/27494.Leaves_of_Grass,"82,495","33,661",468
Douglas Adams,https://www.goodreads.com/author/show/4.Douglas_Adams,4.38,"
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)
",/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,"264,305","33,527",430
Agatha Christie,https://www.goodreads.com/author/show/123715.Agatha_Christie,4.17,"
Murder on the Orient Express (Hercule Poirot, #10)
",/book/show/853510.Murder_on_the_Orient_Express,"312,598","33,352",480
Jeffrey Eugenides,https://www.goodreads.com/author/show/1467.Jeffrey_Eugenides,4.00,"
Middlesex
",/book/show/2187.Middlesex,"556,625","33,258",411
Bill Watterson,https://www.goodreads.com/author/show/13778.Bill_Watterson,4.64,"
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury
",/book/show/43070.The_Essential_Calvin_and_Hobbes,"107,349","32,708",446
Thomas Keneally,https://www.goodreads.com/author/show/6900.Thomas_Keneally,4.35,"
Schindler's List
",/book/show/375013.Schindler_s_List,"129,531","32,343",457
Zora Neale Hurston,https://www.goodreads.com/author/show/15151.Zora_Neale_Hurston,3.90,"
Their Eyes Were Watching God
",/book/show/37415.Their_Eyes_Were_Watching_God,"236,042","32,317",433
Jon Krakauer,https://www.goodreads.com/author/show/1235.Jon_Krakauer,3.97,"
Into the Wild
",/book/show/1845.Into_the_Wild,"799,192","31,839",404
Dave Pelzer,https://www.goodreads.com/author/show/1881.Dave_Pelzer,4.10,"
A Child Called ""It"" (Dave Pelzer, #1)
",/book/show/60748.A_Child_Called_It_,"354,860","31,746",400
Art Spiegelman,https://www.goodreads.com/author/show/5117.Art_Spiegelman,4.55,"
The Complete Maus
",/book/show/15195.The_Complete_Maus,"115,164","31,613",400
Malcolm X,https://www.goodreads.com/author/show/17435.Malcolm_X,4.31,"
The Autobiography of Malcolm X
",/book/show/92057.The_Autobiography_of_Malcolm_X,"172,997","31,496",401
Frances Hodgson Burnett,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett,4.20,"
A Little Princess
",/book/show/3008.A_Little_Princess,"255,486","31,409",438
John Irving,https://www.goodreads.com/author/show/3075.John_Irving,4.08,"
The World According to Garp
",/book/show/7069.The_World_According_to_Garp,"195,147","31,308",420
J.M. Barrie,https://www.goodreads.com/author/show/5255014.J_M_Barrie,4.08,"
Peter Pan
",/book/show/34268.Peter_Pan,"239,911","31,046",463
Laurie Halse Anderson,https://www.goodreads.com/author/show/10003.Laurie_Halse_Anderson,4.02,"
Speak
",/book/show/439288.Speak,"454,732","31,038",391
Kenneth Grahame,https://www.goodreads.com/author/show/3843.Kenneth_Grahame,3.99,"
The Wind in the Willows
",/book/show/5659.The_Wind_in_the_Willows,"164,577","30,396",446
Rick Riordan,https://www.goodreads.com/author/show/15872.Rick_Riordan,4.24,"
The Lightning Thief (Percy Jackson and the Olympians, #1)
",/book/show/28187.The_Lightning_Thief,"1,755,939","30,065",384
John Green,https://www.goodreads.com/author/show/1406384.John_Green,4.05,"
Looking for Alaska
",/book/show/99561.Looking_for_Alaska,"1,005,091","29,855",351
Ki Longfellow,https://www.goodreads.com/author/show/286014.Ki_Longfellow,4.07,"
The Secret Magdalene
",/book/show/514811.The_Secret_Magdalene,"4,057","29,669",303
Howard Zinn,https://www.goodreads.com/author/show/1899.Howard_Zinn,4.08,"
A People's History of the United States
",/book/show/2767.A_People_s_History_of_the_United_States,"168,368","29,664",371
Arthur Conan Doyle,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,4.11,"
The Hound of the Baskervilles (Sherlock Holmes, #5)
",/book/show/8921.The_Hound_of_the_Baskervilles,"219,875","29,365",442
Neil Gaiman,https://www.goodreads.com/author/show/1221698.Neil_Gaiman,4.11,"
American Gods (American Gods, #1)
",/book/show/30165203-american-gods,"684,856","29,320",378
Louis Sachar,https://www.goodreads.com/author/show/6569.Louis_Sachar,3.95,"
Holes (Holes, #1)
",/book/show/38709.Holes,"880,133","29,291",400
